center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,trial.stopped,trials.response,surround_angle,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009311333000368904,0.016486249998706626,0.016486249998706626,17.074293290999776,space,17.015119374998903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210406666,0,2025-10-16_17h26.20.585,tilt_staircase,2024.2.4,119.40957933622514,2025-10-16 17h26.27.461231 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.07438474999799,17.088532707999548,17.088532707999548,20.580072707998625,space,3.4860505420001573,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210406666,0,2025-10-16_17h26.20.585,tilt_staircase,2024.2.4,119.40957933622514,2025-10-16 17h26.27.461231 -0400,
30,0,right,0,0,0,right,1,2.2566976249981963,None,,,,,,0,0,0,0,,,,,,,,,20.60210675000053,,,,,,,,,,,,,,,,20.593167125000036,20.60210675000053,21.150569749999704,21.150569749999704,22.08046870799808,22.144939665999118,22.144939665999118,22.8634795830003,right,1,2.2566976249981963,None,22.86857554100061,22.92763845800073,24.37225587500143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210406666,0,2025-10-16_17h26.20.585,tilt_staircase,2024.2.4,119.40957933622514,2025-10-16 17h26.27.461231 -0400,
-30,0,left,1,1,0,left,1,0.9447363330000371,None,,,,,,0,1,1,1,,,,,,,,,24.378989083001215,,,,,,,,,,,,,,,,24.373548540999764,24.378989083001215,24.863841082998988,24.863841082998988,,,,25.32984524999847,left,1,0.9447363330000371,None,25.329958791000536,25.33823879099873,26.82286366599874,26.82975408299899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210406666,0,2025-10-16_17h26.20.585,tilt_staircase,2024.2.4,119.40957933622514,2025-10-16 17h26.27.461231 -0400,
30,60,right,2,2,0,right,1,0.9182837500011374,None,,,,,,0,2,2,2,,,,,,,,,26.82975408299899,,,,,,,,,,,,,,,,26.82414250000147,26.82975408299899,27.33115366600032,27.33115366600032,,,,27.75794224999845,right,1,0.9182837500011374,None,27.758076957998128,27.766848291001224,29.256232708001335,29.263048124998022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210406666,0,2025-10-16_17h26.20.585,tilt_staircase,2024.2.4,119.40957933622514,2025-10-16 17h26.27.461231 -0400,
-30,-60,left,3,3,0,left,1,0.9822642910003196,None,,,,,,0,3,3,3,,,,,,,,,29.263048124998022,,,,,,,,,,,,,,,,29.257499082999857,29.263048124998022,29.755169832998945,29.755169832998945,,,,30.248077915999602,left,1,0.9822642910003196,None,30.248209375000442,30.25692374999926,31.744743250001193,31.755309666001267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210406666,0,2025-10-16_17h26.20.585,tilt_staircase,2024.2.4,119.40957933622514,2025-10-16 17h26.27.461231 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7448919999988,31.755309666001267,31.755309666001267,38.70222116600053,space,6.93536395800038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210406666,0,2025-10-16_17h26.20.585,tilt_staircase,2024.2.4,119.40957933622514,2025-10-16 17h26.27.461231 -0400,
-30,-60,left,0,0,0,,,,,100,left,1,1.019332833999215,None,,,,,0,0,0,0,,,,,38.714890999999625,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.74145720800152,39.75016970800061,41.23993133299882,41.24586933300088,,,,,,,,38.70893466599955,38.714890999999625,39.20310154099934,39.20310154099934,39.280627707998065,39.280627707998065,39.280627707998065,39.74131854100051,left,1,1.019332833999215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210406666,0,2025-10-16_17h26.20.585,tilt_staircase,2024.2.4,119.40957933622514,2025-10-16 17h26.27.461231 -0400,
-30,0,left,1,1,0,,,,,100,left,1,0.8968711250017805,None,,,,,0,1,1,1,,,,,41.24586933300088,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.14792933300123,42.156364333000965,43.64016645800075,43.64674541600107,,,,,,,,41.240463875001296,41.24586933300088,41.73896429099841,41.73896429099841,41.812336582999706,41.812336582999706,41.812336582999706,42.147811291000835,left,1,0.8968711250017805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210406666,0,2025-10-16_17h26.20.585,tilt_staircase,2024.2.4,119.40957933622514,2025-10-16 17h26.27.461231 -0400,
30,60,right,2,2,0,,,,,100,right,1,0.9456094579982164,None,,,,,0,2,2,2,,,,,43.64674541600107,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.59882495800048,44.60765162499956,46.09540249999918,46.10631170800116,,,,,,,,43.64079950000087,43.64674541600107,44.147457791001216,44.147457791001216,44.222839750000276,44.222839750000276,44.222839750000276,44.59870454100019,right,1,0.9456094579982164,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210406666,0,2025-10-16_17h26.20.585,tilt_staircase,2024.2.4,119.40957933622514,2025-10-16 17h26.27.461231 -0400,
