6.3921 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
6.3933 	INFO 	Loaded monitor calibration from ['2025_01_25 22:17']
6.6297 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7facd226eac0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7facd226e9d0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7facd22994c0>, multiSample=False, name='window1', numSamples=2, pos=[1320.0, 420.0], screen=1, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.6298 	EXP 	window1: backgroundImage = ''
6.6298 	EXP 	window1: backgroundFit = 'none'
6.6423 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6433 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6441 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6451 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6461 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6472 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6480 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6490 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6498 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6503 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6511 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6518 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6525 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6533 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6539 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6546 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6554 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6559 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6563 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6572 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6577 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
