8.2146 	INFO 	Loaded monitor calibration from ['2025_08_13 14:32']
8.4751 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fad4b4d0c70>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fad4b4d0b50>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fad4b1d55e0>, multiSample=False, name='window1', numSamples=2, pos=[320.0, 150.0], screen=0, size=array([1600, 1200]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.4752 	EXP 	window1: backgroundImage = ''
8.4752 	EXP 	window1: backgroundFit = 'none'
8.4893 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4903 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4911 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4921 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4931 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4937 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4945 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4955 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4961 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4964 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4971 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4978 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4984 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4992 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4999 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.5006 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.5013 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.5018 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.5023 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.5032 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.5036 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.5042 	DEBUG 	Uploading Texture Font fontname to graphics card
8.5084 	DEBUG 	Upload of Texture Font fontname complete
8.5142 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.5151 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.5161 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.5163 	DEBUG 	Uploading Texture Font fontname to graphics card
8.5183 	DEBUG 	Upload of Texture Font fontname complete
8.5199 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.5199 	EXP 	window1: recordFrameIntervals = False
8.7664 	EXP 	window1: recordFrameIntervals = True
9.6017 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

9.6109 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6118 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6131 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6149 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6165 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6182 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6190 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
