center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,surround_angle,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.015196042018942535,0.01975400000810623,0.01975400000810623,0.6442795420298353,space,0.5950682919938117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501850,001,2025-08-14_14h52.27.038,tilt_staircase,2024.2.4,None,2025-08-14 14h52.33.583107 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6443158329930156,0.6530741250608116,0.6530741250608116,0.8512610830366611,space,0.19692324998322874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501850,001,2025-08-14_14h52.27.038,tilt_staircase,2024.2.4,None,2025-08-14 14h52.33.583107 -0700,
30,0,right,0,0,0,right,1,1.4272819160250947,None,,,,,,0,0,0,0,,,,,0.8663097500102594,,,,,,,,,,,,,,,,0.8572461670264602,0.8663097500102594,0.8663097500102594,1.3535284170648083,1.3535284170648083,1.36110695800744,2.2966444580815732,right,1,1.4272819160250947,None,2.2997577920323238,2.3211727919988334,3.800627666991204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501850,001,2025-08-14_14h52.27.038,tilt_staircase,2024.2.4,None,2025-08-14 14h52.33.583107 -0700,
-30,0,left,1,1,0,left,1,0.8535631250124425,None,,,,,,0,1,1,1,,,,,3.8111744170309976,,,,,,,,,,,,,,,,3.80079370806925,3.8111744170309976,3.8111744170309976,4.294363708002493,4.294363708002493,4.299079291988164,4.668101374991238,left,1,0.8535631250124425,None,4.668153167003766,4.69109874998685,6.169150542002171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501850,001,2025-08-14_14h52.27.038,tilt_staircase,2024.2.4,None,2025-08-14 14h52.33.583107 -0700,
30,60,right,2,2,0,right,1,1.077325165970251,None,,,,,,0,2,2,2,,,,,6.178682667086832,,,,,,,,,,,,,,,,6.169338500010781,6.178682667086832,6.178682667086832,6.6661972920410335,6.6661972920410335,6.6661972920410335,7.263678250019439,right,1,1.077325165970251,None,7.263733417028561,7.267513917060569,8.763061958015896,8.76582962507382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501850,001,2025-08-14_14h52.27.038,tilt_staircase,2024.2.4,None,2025-08-14 14h52.33.583107 -0700,
-30,-60,left,3,3,0,left,1,0.9698467089328915,None,,,,,,0,3,3,3,,,,,8.76582962507382,,,,,,,,,,,,,,,,8.763358875061385,8.76582962507382,8.76582962507382,9.261048792046495,9.261048792046495,9.261048792046495,9.748361833044328,left,1,0.9698467089328915,None,9.74848637508694,9.754578083055094,11.24778725008946,11.252435708069243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501850,001,2025-08-14_14h52.27.038,tilt_staircase,2024.2.4,None,2025-08-14 14h52.33.583107 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.247874750057235,11.252435708069243,11.252435708069243,12.064236417063512,space,0.8021632079035044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501850,001,2025-08-14_14h52.27.038,tilt_staircase,2024.2.4,None,2025-08-14 14h52.33.583107 -0700,
-30,-60,left,0,0,0,,,,,100,left,1,1.3769852089462802,None,,,,,0,0,0,0,12.105841708020307,,,,,,,,,,,,,,,,,,,,,,,,,,,13.484950000070967,13.499338458059356,14.985888583003543,,,,,,,,,12.099417958059348,12.105841708020307,12.105841708020307,12.561135875061154,12.561135875061154,12.599350417032838,12.632658582995646,12.632658582995646,12.632658582995646,13.484883333090693,left,1,1.3769852089462802,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501850,001,2025-08-14_14h52.27.038,tilt_staircase,2024.2.4,None,2025-08-14 14h52.33.583107 -0700,
-30,0,left,1,1,0,,,,,100,left,1,1.0325237090000883,None,,,,,0,1,1,1,14.995351125020534,,,,,,,,,,,,,,,,,,,,,,,,,,,16.032346292049624,16.036674458067864,17.53088737500366,17.533996125101112,,,,,,,,14.986131000099704,14.995351125020534,14.995351125020534,15.48438929207623,15.48438929207623,15.48438929207623,15.561186083010398,15.561186083010398,15.561186083010398,16.03226083307527,left,1,1.0325237090000883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501850,001,2025-08-14_14h52.27.038,tilt_staircase,2024.2.4,None,2025-08-14 14h52.33.583107 -0700,
30,60,right,2,2,0,,,,,100,right,1,0.9637715839780867,None,,,,,0,2,2,2,17.533996125101112,,,,,,,,,,,,,,,,,,,,,,,,,,,18.501761625055224,18.51108349999413,19.996337125077844,19.99925220804289,,,,,,,,17.531124167027883,17.533996125101112,17.533996125101112,18.02778704208322,18.02778704208322,18.032488083001226,18.098685792065226,18.098685792065226,18.111058750073425,18.501703958027065,right,1,0.9637715839780867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501850,001,2025-08-14_14h52.27.038,tilt_staircase,2024.2.4,None,2025-08-14 14h52.33.583107 -0700,
