center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.014082749956287444,0.0194013329455629,0.0194013329455629,0.5268333329586312,space,0.47695137502159923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081125,001,2025-08-14_14h45.14.434,tilt_staircase,2024.2.4,None,2025-08-14 14h45.20.464286 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5268720419844612,0.5348774999147281,0.5348774999147281,0.845146874897182,space,0.30273979099001735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081125,001,2025-08-14_14h45.14.434,tilt_staircase,2024.2.4,None,2025-08-14 14h45.20.464286 -0700,
30,0,right,0,0,0,right,1,2.9908122500637546,None,,,,,,0,0,0,0,,,,,0.8615777919767424,,,,,,,,,,,,,,,,0.8514275829074904,0.8615777919767424,0.8615777919767424,1.3429018328897655,1.3429018328897655,1.3594774579396471,2.330900832894258,2.330900832894258,2.3427386248949915,3.86241620790679,right,1,2.9908122500637546,None,3.865643791970797,3.918897582916543,5.3652521669864655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081125,001,2025-08-14_14h45.14.434,tilt_staircase,2024.2.4,None,2025-08-14 14h45.20.464286 -0700,
-30,0,left,1,1,0,left,1,1.256168165942654,None,,,,,,0,1,1,1,,,,,5.376004957943223,,,,,,,,,,,,,,,,5.36539529194124,5.376004957943223,5.376004957943223,5.859443791909143,5.859443791909143,5.863985457923263,,,,6.633308916934766,left,1,1.256168165942654,None,6.633359791943803,6.6427877499954775,8.128076166962273,8.130628541926853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081125,001,2025-08-14_14h45.14.434,tilt_staircase,2024.2.4,None,2025-08-14 14h45.20.464286 -0700,
30,60,right,2,2,0,right,1,2.0433081249939278,None,,,,,,0,2,2,2,,,,,8.130628541926853,,,,,,,,,,,,,,,,8.12824124994222,8.130628541926853,8.130628541926853,8.630833082948811,8.630833082948811,8.626086249947548,9.625992541899905,9.625992541899905,9.630441207904369,10.17874712496996,right,1,2.0433081249939278,None,10.178798791952431,10.182385916938074,11.678226874908432,11.680859791929834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081125,001,2025-08-14_14h45.14.434,tilt_staircase,2024.2.4,None,2025-08-14 14h45.20.464286 -0700,
-30,-60,left,3,3,0,left,1,2.6650115409865975,None,,,,,,0,3,3,3,,,,,11.680859791929834,,,,,,,,,,,,,,,,11.67840399988927,11.680859791929834,11.680859791929834,12.175996166886762,12.175996166886762,12.175996166886762,13.163624207954854,13.163624207954854,13.175990916904993,14.349682416999713,left,1,2.6650115409865975,None,14.349736624979414,14.359437332954258,15.84489374991972,15.847950499970466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081125,001,2025-08-14_14h45.14.434,tilt_staircase,2024.2.4,None,2025-08-14 14h45.20.464286 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.844957374967635,15.847950499970466,15.847950499970466,23.378709582961164,space,7.518385208095424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081125,001,2025-08-14_14h45.14.434,tilt_staircase,2024.2.4,None,2025-08-14 14h45.20.464286 -0700,
-30,-60,left,0,0,0,,,,,100,left,1,1.8188670000527054,None,,,,,0,0,0,0,23.388432207982987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2121515419567,25.215831832960248,26.700518416939303,26.71028945792932,,,,,,,,23.383439332945272,23.388432207982987,23.388432207982987,23.87597912491765,23.87597912491765,23.880570541950874,23.947580832988024,23.947580832988024,23.947580832988024,25.21209370798897,left,1,1.8188670000527054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081125,001,2025-08-14_14h45.14.434,tilt_staircase,2024.2.4,None,2025-08-14 14h45.20.464286 -0700,
-30,0,left,1,1,0,,,,,100,left,1,1.2627704999176785,None,,,,,0,1,1,1,26.71028945792932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.978865207987837,27.982542124926113,29.478165666921996,29.480869332910515,,,,,,,,26.700778457918204,26.71028945792932,26.71028945792932,27.2096942079952,27.2096942079952,27.198553624912165,27.28058083297219,27.28058083297219,27.28058083297219,27.978810332948342,left,1,1.2627704999176785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081125,001,2025-08-14_14h45.14.434,tilt_staircase,2024.2.4,None,2025-08-14 14h45.20.464286 -0700,
30,60,right,2,2,0,,,,,100,right,1,1.238408250035718,None,,,,,0,2,2,2,29.480869332910515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.72885341697838,30.732636999920942,32.21729070798028,32.22662362491246,,,,,,,,29.478392541990615,29.480869332910515,29.480869332910515,29.976040291949175,29.976040291949175,29.976040291949175,30.04721399990376,30.04721399990376,30.04721399990376,30.728797207935713,right,1,1.238408250035718,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081125,001,2025-08-14_14h45.14.434,tilt_staircase,2024.2.4,None,2025-08-14 14h45.20.464286 -0700,
30,0,right,3,3,0,,,,,100,right,1,1.1371400830103084,None,,,,,0,3,3,3,32.22662362491246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.36682454193942,33.37605112500023,34.86135724990163,34.863936249981634,,,,,,,,32.21757020789664,32.22662362491246,32.22662362491246,32.72604458290152,32.72604458290152,32.71417341695633,32.79692699993029,32.79692699993029,32.79692699993029,33.3667599579785,right,1,1.1371400830103084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081125,001,2025-08-14_14h45.14.434,tilt_staircase,2024.2.4,None,2025-08-14 14h45.20.464286 -0700,
-30,69,left,4,4,0,,,,,0,left,1,1.6490318330470473,None,,,,,0,4,4,4,34.863936249981634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.516648791963235,36.52602066693362,38.011183582944795,38.01374666695483,,,,,,,,34.86157229193486,34.863936249981634,34.863936249981634,35.36500129196793,35.36500129196793,35.359539624885656,35.4425680419663,35.4425680419663,35.4425680419663,36.51659170794301,left,1,1.6490318330470473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081125,001,2025-08-14_14h45.14.434,tilt_staircase,2024.2.4,None,2025-08-14 14h45.20.464286 -0700,
30,69,right,5,5,0,,,,,0,right,1,0.9917360419640318,None,,,,,0,5,5,5,38.01374666695483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.011825041961856,39.01541866699699,40.500845499918796,40.50962670799345,,,,,,,,38.011399082955904,38.01374666695483,38.01374666695483,38.514244207995944,38.514244207995944,38.509330999921076,38.59269554191269,38.59269554191269,38.59269554191269,39.01175920793321,right,1,0.9917360419640318,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081125,001,2025-08-14_14h45.14.434,tilt_staircase,2024.2.4,None,2025-08-14 14h45.20.464286 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.50101166695822,40.50962670799345,40.50962670799345,41.312163166934624,space,0.7975176250329241,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081125,001,2025-08-14_14h45.14.434,tilt_staircase,2024.2.4,None,2025-08-14 14h45.20.464286 -0700,
,,,,,,,,,,,,,,,,,,,,,,,41.41355820791796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,1,0,start,5,15,15,-30,41.40875258296728,41.41355820791796,41.41355820791796,41.80934237490874,41.80934237490874,41.88132591696922,41.88132591696922,41.88132591696922,41.909245332935825,42.37838891695719,1,081125,001,2025-08-14_14h45.14.434,tilt_staircase,2024.2.4,None,2025-08-14 14h45.20.464286 -0700,
,,,,,,,,,,,,,,,,,,,,,,,42.38220566697419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,4,1,1,start,5,-15,-15,,42.37868562492076,42.38220566697419,42.38220566697419,42.87598774989601,42.87598774989601,42.947248666896485,42.947248666896485,42.947248666896485,42.88073454191908,,,,,,,,,,
