center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,resp.keys,resp.rt,resp.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,test.started,surround_practice_3.started,center_practice_3.started,key_resp_7.started,test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,test_norm.started,surround_practice_4.started,center_practice_4.started,key_resp_9.started,test_norm.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_4.started,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016517125070095062,0.023224750068038702,0.023224750068038702,2.7619430841878057,space,2.7332142079249024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962830,001,2025-08-21_12h32.18.856,tilt_mocs,2024.2.4,None,2025-08-21 12h32.24.895442 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.762321542017162,2.7772401249967515,2.7772401249967515,2.7772401249967515,4.355521625140682,right,1.5736845419742167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962830,001,2025-08-21_12h32.18.856,tilt_mocs,2024.2.4,None,2025-08-21 12h32.24.895442 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3558192499913275,4.442039499990642,4.442039499990642,4.442039499990642,5.1433637090958655,right,0.6898614580277354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962830,001,2025-08-21_12h32.18.856,tilt_mocs,2024.2.4,None,2025-08-21 12h32.24.895442 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.143411749973893,5.156472041970119,5.156472041970119,6.220917084021494,space,1.0549226661678404,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962830,001,2025-08-21_12h32.18.856,tilt_mocs,2024.2.4,None,2025-08-21 12h32.24.895442 -0400,
30,0,right,0,0,0,right,1,1.1233049579896033,None,,,,,,,,,,,,0,0,0,0,,,,,,,,,6.232945458963513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.228643334005028,6.232945458963513,6.718528334051371,6.718528334051371,7.360548834083602,right,1,1.1233049579896033,None,7.3639422920532525,7.3684175841044635,8.859111584024504,8.854779042070732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962830,001,2025-08-21_12h32.18.856,tilt_mocs,2024.2.4,None,2025-08-21 12h32.24.895442 -0400,
-30,0,left,1,1,0,left,1,1.8884916249662638,None,,,,,,,,,,,,0,1,1,1,,,,,,,,,8.859111584024504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.855764084029943,8.859111584024504,9.358816042076796,9.358816042076796,10.755799875129014,left,1,1.8884916249662638,None,10.755867792060599,10.760767792118713,12.259086625184864,12.254906167043373,10.358873208984733,10.358873208984733,10.358873208984733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962830,001,2025-08-21_12h32.18.856,tilt_mocs,2024.2.4,None,2025-08-21 12h32.24.895442 -0400,
30,60,right,2,2,0,right,1,0.9465651670470834,None,,,,,,,,,,,,0,2,2,2,,,,,,,,,12.259086625184864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25591962505132,12.259086625184864,12.752382792066783,12.752382792066783,13.21115520899184,right,1,0.9465651670470834,None,13.211221250006929,13.218900584150106,14.70899000018835,14.70478166709654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962830,001,2025-08-21_12h32.18.856,tilt_mocs,2024.2.4,None,2025-08-21 12h32.24.895442 -0400,
-30,-60,left,3,3,0,left,1,1.081768041010946,None,,,,,,,,,,,,0,3,3,3,,,,,,,,,14.70899000018835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.705748709151521,14.70899000018835,15.20852362504229,15.20852362504229,15.794334250036627,left,1,1.081768041010946,None,15.79441258404404,15.802249167114496,17.292471667053178,17.288167709019035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962830,001,2025-08-21_12h32.18.856,tilt_mocs,2024.2.4,None,2025-08-21 12h32.24.895442 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.288258749991655,17.292471667053178,17.292471667053178,18.32196387508884,space,1.023269500117749,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962830,001,2025-08-21_12h32.18.856,tilt_mocs,2024.2.4,None,2025-08-21 12h32.24.895442 -0400,
-30,-60,left,0,0,0,,,,,100,left,1,0.9419259580317885,None,,,,,,,,,,,0,0,0,0,,,,,18.359833667054772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.304310834035277,19.307834250153974,20.80219616717659,20.793435542145744,,,,,,,,,,,18.354167750105262,18.359833667054772,18.8187890839763,18.8187890839763,18.891675000078976,18.891675000078976,18.891675000078976,19.30424337508157,left,1,0.9419259580317885,None,,,,,,,,,,,,,,,,,,,962830,001,2025-08-21_12h32.18.856,tilt_mocs,2024.2.4,None,2025-08-21 12h32.24.895442 -0400,
